month,users,revenue,lean_cost,staffed_cost,stripe_fees,net_lean,net_staffed,cum_lean,cum_staffed
1,100,7000,452,20050,233,6314,-13283,6314,-13283
2,123,8610,453,20050,287,7870,-11727,14185,-25010
3,152,10640,454,20050,354,9832,-9764,24017,-34774
4,188,13160,455,20050,438,12267,-7328,36284,-42102
5,232,16240,456,20050,541,15244,-4351,51528,-46452
6,286,20020,457,20050,666,18896,-696,70424,-47149
7,353,24710,459,20050,822,23429,3838,93853,-43311
8,436,30520,461,20050,1016,29043,9454,122896,-33857
9,538,37660,2313,20400,1254,34093,16006,156989,-17851
10,663,46410,2317,20400,1545,42549,24465,199538,6615
11,819,57330,2320,20400,1908,53101,35022,252639,41636
12,1010,70700,2325,20400,2353,66021,47947,318660,89583
