month,users,revenue,lean_cost,staffed_cost,stripe_fees,net_lean,net_staffed,cum_lean,cum_staffed
1,150,10500,454,20050,350,9697,-9900,9697,-9900
2,196,13720,455,20050,457,12808,-6787,22505,-16686
3,257,17990,456,20050,599,16935,-2659,39440,-19345
4,336,23520,458,20050,783,22279,2687,61719,-16658
5,439,30730,461,20050,1023,29246,9657,90965,-7001
6,574,40180,2314,20400,1337,36528,18443,127493,11442
7,751,52570,2319,20400,1750,48501,30420,175994,41862
8,983,68810,2325,20400,2290,64195,46120,240189,87982
9,1285,89950,2332,20400,2994,84624,66556,324813,154538
10,1681,117670,2842,20900,3917,110911,92853,435725,247391
11,2199,153930,4355,20900,5124,144451,127906,580176,375297
12,2876,201320,4372,20900,6701,190247,173719,770423,549016
